lom.classification.purpose;vocabulaire.identifier;term.identifier;obk.begrip.identifier;obk.begrip.aanduiding;obk.begrip.purpose
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;1;17b41166-ab49-4a56-bcf1-32317da752ef;Bouw en infra;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;1.1;652bc6a3-d024-493f-9199-a08340cbb2b3;Bouwkunde;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;1.2;8154d1f0-9b05-4649-b5b8-1da16cdb0185;Infrastructuur;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;2;3ed67cca-37f6-4d7b-b1eb-872f6671caf7;Afbouw, hout en onderhoud;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;2.1;31926035-10da-4f58-bf5b-6ba6a8084f90;Hout en meubel;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;2.2;8bfd94a6-23ab-4d61-b816-90c67e0ba084;Stukadoren en afbouw;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;2.3;797704ac-6c19-4029-999d-41b5434770cf;Schilderen en onderhoud;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;2.4;6276c656-2285-47ca-a7d0-7c833a0ce882;Schoonmaak en glazenwassen;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;3;c6c55e80-9fae-440b-b50a-4a1f70432734;Techniek en procesindustrie;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;3.1;693f235a-511f-4f59-9633-6b1abd0e3b6f;Werktuigbouwkunde;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;3.2;8cfb914a-ead0-4125-b389-d5d9816afb95;Elektrotechniek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;3.3;2bc0df5e-8a3e-4327-993d-7e7d785866b7;Installatietechniek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;3.4;bc899047-ae76-4414-a6df-e25c743def3f;Procesindustrie;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;3.5;ee14b214-78a5-4436-ac08-acda03de24af;Vliegtuigbouwkunde;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;4;b658110d-0115-4059-9889-cc7cc6369cc7;Ambacht, laboratorium en gezondheidstechniek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;4.1;e813cc0e-3f90-4097-880f-2a79c6bf67b2;Ambachtelijke techniek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;4.2;4af508b6-da26-4895-a238-ad8f9775bd00;Gezondheidstechniek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;4.3;59362601-8e47-406c-9d76-b5c380440f9b;Laboratoriumtechniek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;5;2c366888-5642-4262-922d-f84908767235;Media en vormgeving;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;5.1;3e4c4a78-565c-4e1a-8553-4267ef05b40c;Mediatechniek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;5.2;20c064ec-c7b1-474c-a973-af4ded2f991c;Mediavormgeving;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;5.3;9bba22a0-8bee-4f76-9b79-621f056d69b9;Evenemententechniek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;5.4;25f996b2-5ebf-4b52-be39-86406f237690;Ruimtelijke vormgeving;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;6;fd8df586-d10e-4cd2-8ef7-c0c93f0bc5cd;Informatie en communicatietechnologie;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;6.1;d6d6003d-1420-4fc4-9172-775aa7b3601f;ICT en media;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;6.2;d25ad680-54d4-4721-98b5-8c59e45bd039;Kantoorautomatisering;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;6.3;e526d561-44a7-4127-9678-458e7b3ba973;Digitaal onderzoek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;7;d761bbea-3e5c-4887-89e6-f1129b9c77de;Mobiliteit en voertuigen;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;7.1;bd31cb34-9b8d-42dc-abbe-40d34417e1a3;Mobiliteitstechniek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;7.2;ab706abb-1f4a-4860-93c1-1d5ef63ea3b5;Carrosserietechniek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;8;9ca10565-ec88-44b7-abc2-582dfdea5abc;Transport, scheepvaart en logistiek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;8.1;69f48643-6340-445e-92a6-8bdd1637af36;Scheepvaart;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;8.2;bc763868-161e-4aec-9fe6-0493348f7c2d;Luchtvaart;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;8.3;2e21886c-d285-4017-929a-1a69c8d3ced8;Wegtransport;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;8.4;77218c97-9714-452b-ba6c-3943d8a87dac;Logistiek;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;9;3912477b-4bd1-40ca-aeba-eb7a748728b8;Handel en ondernemerschap;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;9.1;076b2d41-8a82-4144-83ef-c60608b46469;Detailhandel en groothandel;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;9.2;97537f98-2e78-4881-bfe1-c4c74de19837;Management en ondernemerschap;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;9.3;80de344b-6c8d-4594-8413-ee33f9a2bc4b;Mode en interieurindustrie;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;9.4;e543db45-b4e1-46c5-b13b-ee269f5d0edd;Tapijt en textielindustrie;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;10;8ce88270-8fc1-41fa-97c0-6a59b66218f7;Economie en administratie;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;10.1;df874fdf-deb6-4b84-b0b1-7ab162fbe789;Administratieve dienstverlening;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;10.2;f593fa33-b229-4557-ad67-352d75bae2a8;Zakelijke dienstverlening;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;10.3;3d904049-0624-4aae-a924-e478fcb7c0aa;Commerciele dienstverlening;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;11;8aa21fc6-4da8-4bdf-9de2-d9e5e707d003;Veiligheid en sport;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;11.1;c4ee4d2d-2d48-42a9-a728-9e3d551d8266;Defensie;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;11.2;244d522c-fc3b-4d37-8826-ff82eb9cbe07;Publieke veiligheid;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;11.4;7b3bbad5-34b2-4b5d-9c83-e3b64a3efed0;Sport en bewegen;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;12;4c5ca35d-a5b7-4408-af1f-9bbbcf96caa6;Uiterlijke verzorging;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;12.1;2cc6b924-b9c6-413c-95c2-43fadf093778;Kappers;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;12.2;a2466ca1-0e2f-47fd-b388-d087994e7c91;Schoonheidsverzorging;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;12.3;d3233c10-603c-423e-9339-6144418ba359;Voetverzorging;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;13;bac03586-16fe-4384-98f5-8e0d6845ec72;Horeca en bakkerij;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;13.1;bcc5ccd8-6f9e-4462-9f3e-b48d8471288a;Horeca;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;13.2;ac42c9d5-7bcc-4769-862a-d9e83a075829;Brood en banket;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;13.3;fcd28540-37d2-4beb-b76f-8abef5bbb484;Facilitaire dienstverlening;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;14;6bd98aec-fc1a-4732-b1a8-a6e526f153a9;Toerisme en recreatie;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;14.1;2bf9d82c-1b6a-49fc-9138-f9f46b2ced9a;Toerisme;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;14.2;08018424-b218-4de6-b174-df6982e7a72d;Recreatie;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;15;750580b3-11c3-46a8-9bc2-dd5a6e7612b6;Zorg en welzijn;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;15.1;b333369b-e647-4bbf-b04c-d11a9235a113;Verpleging en verzorging;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;15.2;e65c1e81-e93f-4fdb-adb8-d50676d00025;Gezondheidsondersteuning;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;15.3;be7be841-a81f-4277-9b50-65102179b285;Maatschappelijke zorg;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;15.4;cf0afed9-d6e2-4b9d-9360-68724f33625e;Pedagogisch werk;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;15.5;9a03cb44-b6e4-43dd-b322-acf0a3557b09;Cultureel werk;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;16;5e86dc82-1981-48df-bbe5-abd4a9b3767b;Voedsel, natuur en leefomgeving;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;16.1;a583552a-1732-435b-9354-21bb39646b1f;Voeding, teelt en verwerking;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;16.2;9a95a2cc-5fda-4bb1-8dbc-fb7ba21a65b3;Voeding en handel;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;16.3;80a98b2a-5d16-4b2f-8246-f68f23c1d151;Verse voeding;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;16.4;07af53ba-bb6e-4fae-a82d-34a489cffe01;Natuur en groene ruimte;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;16.5;1b8aad3d-79d7-43ff-afb8-129589e17462;Natuur en vormgeving;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;16.6;7ae17dc6-c964-4c54-913d-bab87b2683ad;Zorg, natuur en gezondheid;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;16.7;59e44cb3-6e06-4c2d-a4a1-fa254a708f64;Dier;discipline
discipline;vdex_classification_opleidingsdomeinen_en_studierichtingen_mbo_2010.xml;16.8;d62da9f1-fb5d-4e37-97b3-075857b58178;Groen, grond en infra;discipline
